ら戳,放,程放,程蔼放,癸楞,羆秖,キА硉,程皚,溃,羆冻秖
2025/1/1,16.9,14.3,19.3,86,7.3,8.5,,1017.3,8
2025/1/2,16.7,15.3,19.3,91,7.8,19.9,,1017.2,8
2025/1/3,16.2,13.3,19.3,75,0,33.3,,1017.3,3
2025/1/4,16.9,12.3,24.3,76,0,9.8,,1017.5,0
2025/1/5,16.4,15.3,18.3,95,0,13,,1018.7,4
2025/1/6,16.1,12.3,20.3,76,0,24.8,,1017.8,0
2025/1/7,15.5,10.3,22.3,70,0,12.7,,1018.6,1
2025/1/8,16.2,13.3,21.3,77,0,14.8,,1019.1,2
2025/1/9,15.4,12.3,19.3,75,0,27.9,,1020.8,4
2025/1/10,12.3,10.3,15.3,71,0,38,,1025,3
2025/1/11,12.9,11.3,16.3,74,0,27,,1025.7,3
2025/1/12,13.3,9.3,18.3,55,0,26,,1024.4,0
2025/1/13,13.9,6.3,22.3,62,0,7.3,,1022.4,0
2025/1/14,15.8,10.3,22.3,80,1.7,7.1,,1022.2,2
2025/1/15,13.6,11.3,15.3,86,2.5,28.6,,1022.7,6
2025/1/16,11.8,10.3,15.3,73,0,27.3,,1022.8,0
2025/1/17,13.4,8.3,19.3,68,0,22.8,,1021.1,0
2025/1/18,14.6,8.3,20.3,85,1.8,11.8,,1018.3,6
2025/1/19,15.1,12.3,18.3,92,1.1,15.7,,1015.5,4
2025/1/20,15.4,10.3,21.3,70,0,14,,1014.4,0
2025/1/21,16.8,10.3,23.3,74,0,8.5,,1015.9,0
2025/1/22,17.2,15.3,22.3,89,0.3,8.8,,1017.3,4
2025/1/23,16.8,14.3,21.3,90,1.1,17.7,,1016.3,4
2025/1/24,17.6,14.3,22.3,90,0,19.8,,1014.3,3
2025/1/25,17.7,15.3,22.3,87,0,20.9,,1015,1
2025/1/26,15.5,12.3,19.3,86,0,24.6,,1017,4
2025/1/27,11,8.3,14.3,77,0.7,35.1,,1019.4,5
2025/1/28,11.9,8.3,17.3,58,0,26.6,,1022.5,2
2025/1/29,13,8.3,20.3,67,0,13.1,,1023.1,1
2025/1/30,14.8,8.3,22.3,77,0,8.6,,1020.1,0
2025/1/31,15.3,12.3,17.3,98,6.6,7.6,,1016.7,6
2025/2/1,19.1,15.3,25.3,90,12.8,15.1,,1013.2,6
2025/2/2,15.8,14.3,19.3,96,0,22.3,,1013.5,4
2025/2/3,12.9,10.3,15.3,94,0.4,30.9,,1017.5,7
2025/2/4,12.6,9.3,17.3,68,0.2,31.7,,1019.7,3
2025/2/5,14.2,8.3,21.3,65,0,9.6,,1018.4,2
2025/2/6,16.4,14.3,21.3,78,0,7.8,,1017.7,6
2025/2/7,14.1,11.3,18.3,84,0,32.4,,1019.4,5
2025/2/8,10.4,9.3,12.3,69,0,35.5,,1021.9,3
2025/2/9,11.6,9.3,15.3,72,0,27.3,,1022.2,2
2025/2/10,14.5,8.3,21.3,77,0,10.6,,1021,1
2025/2/11,16,11.3,22.3,85,0,9.7,,1019.1,2
2025/2/12,16.7,15.3,19.3,100,34,10.2,,1018.2,8
2025/2/13,15,13.3,17.3,96,26.3,21.9,,1017.8,8
2025/2/14,16.1,14.3,20.3,93,0,11.4,,1017,4
2025/2/15,17.5,14.3,26.3,92,0,9.2,,1014.7,2
2025/2/16,17.9,13.3,24.3,89,0,16.1,,1016.3,3
2025/2/17,17.7,14.3,24.3,69,0,18.1,,1018.7,0
2025/2/18,16.4,13.3,20.3,81,0,22.2,,1020.5,1
2025/2/19,16.2,12.3,22.3,87,0,8.9,,1020.7,1
2025/2/20,16.3,13.3,19.3,96,0,12.5,,1021.2,5
2025/2/21,15.1,13.3,18.3,92,0.8,26.3,,1022.1,3
2025/2/22,16.7,13.3,22.3,84,0,17.9,,1022.2,2
2025/2/23,14.8,13.3,16.3,93,8.2,30.1,,1024.5,6
2025/2/24,13.8,11.3,17.3,78,0,28.3,,1026.2,2
2025/2/25,14.9,11.3,21.3,82,0,8.6,,1025.1,2
2025/2/26,16,13.3,20.3,95,0.6,15.2,,1022.8,8
2025/2/27,17.1,15.3,21.3,89,0,9.3,,1019.6,6
2025/2/28,19.9,14.3,25.3,77,0,7.8,,1018,0
2025/3/1,21.8,15.3,29.3,73,0,7.9,,1016.1,2
2025/3/2,23.3,18.3,30.3,78,0,7.3,,1013.8,4
2025/3/3,24.8,21.3,30.3,87,0.8,13.4,,1011.7,8
2025/3/4,21.4,16.3,27.3,92,32.9,13.5,,1011.8,8
2025/3/5,17,15.3,19.3,100,32.5,20.3,,1013.6,7
2025/3/6,13.9,12.3,16.3,95,7.6,33.5,,1017.9,6
2025/3/7,14.5,12.3,18.3,84,1.4,22.9,,1018.7,8
2025/3/8,15,12.3,20.3,86,0.1,23.2,,1019.8,3
2025/3/9,16.7,13.3,22.3,84,0,15.8,,1021,0
2025/3/10,17.1,15.3,22.3,91,0,8.3,,1020.5,1
2025/3/11,19.6,14.3,27.3,85,0.1,7.5,,1017.6,4
2025/3/12,24.1,18.3,30.3,73,0.1,7.4,,1015.1,5
2025/3/13,21.5,19.3,24.3,97,12.6,8.8,,1015,8
2025/3/14,20.2,17.3,26.3,94,0.1,12.5,,1015.4,5
2025/3/15,19.4,14.3,25.3,97,,10.7,,,
2025/3/16,13.9,12.3,17.3,75,,40,,,
2025/3/17,12.5,11.3,14.3,68,,23.2,,,
2025/3/18,12.4,8.3,15.3,71,,14.2,,,
2025/3/19,14.5,7.3,22.3,72,,11.6,,,
